,0,0,0,0
191,https://www.zerozero.pt/jogo.php?id=7643045,2021-03-06,Portimonense,CD Tondela
192,https://www.zerozero.pt/jogo.php?id=7643041,2021-03-06,Gil Vicente,FC Porto
193,https://www.zerozero.pt/jogo.php?id=7643029,2021-03-06,Boavista,FC Famalicão
194,https://www.zerozero.pt/jogo.php?id=7643039,2021-03-07,Marítimo,Moreirense
195,https://www.zerozero.pt/jogo.php?id=7643043,2021-03-07,Rio Ave,Farense
196,https://www.zerozero.pt/jogo.php?id=7643033,2021-03-08,Belenenses SAD,Benfica
197,https://www.zerozero.pt/jogo.php?id=7643037,2021-03-09,SC Braga,V. Guimarães
198,https://www.zerozero.pt/jogo.php?id=7642805,2021-03-12,Nacional,Marítimo
199,https://www.zerozero.pt/jogo.php?id=7642799,2021-03-13,Farense,Belenenses SAD
200,https://www.zerozero.pt/jogo.php?id=7642801,2021-03-13,Benfica,Boavista
201,https://www.zerozero.pt/jogo.php?id=7642809,2021-03-13,Santa Clara,Portimonense
202,https://www.zerozero.pt/jogo.php?id=7642811,2021-03-13,CD Tondela,Sporting
203,https://www.zerozero.pt/jogo.php?id=7642807,2021-03-14,Moreirense,Rio Ave
204,https://www.zerozero.pt/jogo.php?id=7642795,2021-03-14,V. Guimarães,Gil Vicente
205,https://www.zerozero.pt/jogo.php?id=7642797,2021-03-14,FC Porto,Paços de Ferreira
206,https://www.zerozero.pt/jogo.php?id=7642803,2021-03-15,FC Famalicão,SC Braga
207,https://www.zerozero.pt/jogo.php?id=7642833,2021-03-19,Gil Vicente,Nacional
208,https://www.zerozero.pt/jogo.php?id=7642841,2021-03-20,Paços de Ferreira,Moreirense
209,https://www.zerozero.pt/jogo.php?id=7642847,2021-03-20,Santa Clara,CD Tondela
210,https://www.zerozero.pt/jogo.php?id=7642843,2021-03-20,Portimonense,FC Porto
211,https://www.zerozero.pt/jogo.php?id=7642839,2021-03-20,Sporting,V. Guimarães
212,https://www.zerozero.pt/jogo.php?id=7642835,2021-03-21,Rio Ave,Belenenses SAD
213,https://www.zerozero.pt/jogo.php?id=7642845,2021-03-21,Boavista,Farense
214,https://www.zerozero.pt/jogo.php?id=7642831,2021-03-21,Marítimo,FC Famalicão
215,https://www.zerozero.pt/jogo.php?id=7642837,2021-03-21,SC Braga,Benfica
216,https://www.zerozero.pt/jogo.php?id=7642883,2021-04-03,V. Guimarães,CD Tondela
217,https://www.zerozero.pt/jogo.php?id=7642875,2021-04-03,FC Porto,Santa Clara
218,https://www.zerozero.pt/jogo.php?id=7642867,2021-04-03,Rio Ave,Gil Vicente
219,https://www.zerozero.pt/jogo.php?id=7642877,2021-04-03,Benfica,Marítimo
220,https://www.zerozero.pt/jogo.php?id=7642879,2021-04-03,Nacional,Portimonense
221,https://www.zerozero.pt/jogo.php?id=7642881,2021-04-03,Moreirense,Sporting
222,https://www.zerozero.pt/jogo.php?id=7642869,2021-04-03,FC Famalicão,Paços de Ferreira
223,https://www.zerozero.pt/jogo.php?id=7642873,2021-04-03,Farense,SC Braga
224,https://www.zerozero.pt/jogo.php?id=7642871,2021-04-03,Belenenses SAD,Boavista
225,https://www.zerozero.pt/jogo.php?id=7642925,2021-04-11,SC Braga,Belenenses SAD
226,https://www.zerozero.pt/jogo.php?id=7642923,2021-04-11,Santa Clara,Nacional
227,https://www.zerozero.pt/jogo.php?id=7642921,2021-04-11,Sporting,FC Famalicão
228,https://www.zerozero.pt/jogo.php?id=7642935,2021-04-11,Marítimo,Farense
229,https://www.zerozero.pt/jogo.php?id=7642927,2021-04-11,Paços de Ferreira,Benfica
230,https://www.zerozero.pt/jogo.php?id=7642933,2021-04-11,CD Tondela,FC Porto
231,https://www.zerozero.pt/jogo.php?id=7642931,2021-04-11,Gil Vicente,Moreirense
232,https://www.zerozero.pt/jogo.php?id=7642929,2021-04-11,Portimonense,V. Guimarães
233,https://www.zerozero.pt/jogo.php?id=7642937,2021-04-11,Boavista,Rio Ave
234,https://www.zerozero.pt/jogo.php?id=7642985,2021-04-18,Nacional,FC Porto
235,https://www.zerozero.pt/jogo.php?id=7642979,2021-04-18,Rio Ave,SC Braga
236,https://www.zerozero.pt/jogo.php?id=7642981,2021-04-18,V. Guimarães,Santa Clara
237,https://www.zerozero.pt/jogo.php?id=7642989,2021-04-18,Farense,Sporting
238,https://www.zerozero.pt/jogo.php?id=7642983,2021-04-18,Belenenses SAD,Marítimo
239,https://www.zerozero.pt/jogo.php?id=7642977,2021-04-18,Boavista,Paços de Ferreira
240,https://www.zerozero.pt/jogo.php?id=7642987,2021-04-18,FC Famalicão,Portimonense
241,https://www.zerozero.pt/jogo.php?id=7642975,2021-04-18,Benfica,Gil Vicente
242,https://www.zerozero.pt/jogo.php?id=7642991,2021-04-18,Moreirense,CD Tondela
243,https://www.zerozero.pt/jogo.php?id=7642825,2021-04-21,Santa Clara,Moreirense
244,https://www.zerozero.pt/jogo.php?id=7642815,2021-04-21,CD Tondela,Nacional
245,https://www.zerozero.pt/jogo.php?id=7642813,2021-04-21,Gil Vicente,FC Famalicão
246,https://www.zerozero.pt/jogo.php?id=7642827,2021-04-21,Paços de Ferreira,Farense
247,https://www.zerozero.pt/jogo.php?id=7642817,2021-04-21,Sporting,Belenenses SAD
248,https://www.zerozero.pt/jogo.php?id=7642819,2021-04-21,Portimonense,Benfica
249,https://www.zerozero.pt/jogo.php?id=7642823,2021-04-21,FC Porto,V. Guimarães
250,https://www.zerozero.pt/jogo.php?id=7642821,2021-04-21,SC Braga,Boavista
251,https://www.zerozero.pt/jogo.php?id=7642829,2021-04-21,Marítimo,Rio Ave
252,https://www.zerozero.pt/jogo.php?id=7642849,2021-04-25,Belenenses SAD,Gil Vicente
253,https://www.zerozero.pt/jogo.php?id=7642861,2021-04-25,Farense,Portimonense
254,https://www.zerozero.pt/jogo.php?id=7642865,2021-04-25,FC Famalicão,CD Tondela
255,https://www.zerozero.pt/jogo.php?id=7642863,2021-04-25,SC Braga,Sporting
256,https://www.zerozero.pt/jogo.php?id=7642857,2021-04-25,Boavista,Marítimo
257,https://www.zerozero.pt/jogo.php?id=7642859,2021-04-25,Moreirense,FC Porto
258,https://www.zerozero.pt/jogo.php?id=7642853,2021-04-25,Benfica,Santa Clara
259,https://www.zerozero.pt/jogo.php?id=7642851,2021-04-25,Rio Ave,Paços de Ferreira
260,https://www.zerozero.pt/jogo.php?id=7642855,2021-04-25,Nacional,V. Guimarães
261,https://www.zerozero.pt/jogo.php?id=7642895,2021-05-02,Marítimo,SC Braga
262,https://www.zerozero.pt/jogo.php?id=7642899,2021-05-02,Gil Vicente,Farense
263,https://www.zerozero.pt/jogo.php?id=7642901,2021-05-02,Portimonense,Rio Ave
264,https://www.zerozero.pt/jogo.php?id=7642893,2021-05-02,Santa Clara,Boavista
265,https://www.zerozero.pt/jogo.php?id=7642897,2021-05-02,V. Guimarães,Moreirense
266,https://www.zerozero.pt/jogo.php?id=7642891,2021-05-02,CD Tondela,Benfica
267,https://www.zerozero.pt/jogo.php?id=7642889,2021-05-02,Paços de Ferreira,Belenenses SAD
268,https://www.zerozero.pt/jogo.php?id=7642887,2021-05-02,Sporting,Nacional
269,https://www.zerozero.pt/jogo.php?id=7642885,2021-05-02,FC Porto,FC Famalicão
270,https://www.zerozero.pt/jogo.php?id=7642913,2021-05-09,Benfica,FC Porto
271,https://www.zerozero.pt/jogo.php?id=7642915,2021-05-09,Belenenses SAD,Portimonense
272,https://www.zerozero.pt/jogo.php?id=7642917,2021-05-09,Rio Ave,Sporting
